algorithm,operation,payload_size,count,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,mean_ms,median_ms,p95_ms
AES-256-GCM,decrypt,64,200,7935.85,7704.0,1575.360214850135,7500,26056,8204,0.00793585,0.007704,0.008204
AES-256-GCM,decrypt,256,200,11359.45,11222.0,721.1762011223933,11000,19852,11666,0.01135945,0.011222,0.011666
AES-256-GCM,decrypt,1024,200,25447.635,25019.0,2639.0785150917914,24722,55704,26111,0.025447635,0.025019,0.026111
AES-256-GCM,decrypt,4096,200,78339.775,77565.0,6153.1630322037945,77055,161130,80389,0.078339775,0.077565,0.080389
AES-256-GCM,encrypt,64,200,7876.965,7277.5,5971.066861213363,7075,90185,8130,0.007876965,0.0072775,0.00813
AES-256-GCM,encrypt,256,200,11165.565,10833.0,2619.6086603617364,10537,37944,11241,0.011165565,0.010833,0.011241
AES-256-GCM,encrypt,1024,200,24827.69,24481.0,2397.5123925146468,24241,44944,25018,0.02482769,0.024481,0.025018
AES-256-GCM,encrypt,4096,200,77316.255,76500.0,4493.556493444126,76315,129426,78592,0.077316255,0.0765,0.078592
Ascon-128a,decrypt,64,200,4448.05,4241.0,1305.5648799576736,4037,20685,5112,0.00444805,0.004241,0.005112
Ascon-128a,decrypt,256,200,5686.935,5074.0,3948.314255231633,4815,46889,5814,0.005686935000000001,0.005074,0.005814
Ascon-128a,decrypt,1024,200,9177.105,8926.0,2534.97366879469,8759,43370,9167,0.009177105,0.008926,0.009167
Ascon-128a,decrypt,4096,200,22316.265,21500.0,6575.931178097164,21277,101963,21944,0.022316265,0.0215,0.021944
Ascon-128a,encrypt,64,200,4353.32,4148.0,1651.677249429018,3870,25574,4889,0.00435332,0.004148,0.004889
Ascon-128a,encrypt,256,200,5122.71,4833.5,2190.352695470016,4630,29575,5167,0.00512271,0.0048335,0.005167
Ascon-128a,encrypt,1024,200,8660.16,8519.0,1049.7820517521266,8278,20519,8814,0.00866016,0.008519,0.008814
Ascon-128a,encrypt,4096,200,20383.45,20287.0,957.7062565679242,20074,32834,20500,0.02038345,0.020287,0.0205
ChaCha20-Poly1305,decrypt,64,200,7527.32,7129.0,3412.7283397900324,6908,52648,7648,0.00752732,0.007129,0.007648
ChaCha20-Poly1305,decrypt,256,200,8376.21,8092.0,2760.801916474641,7925,46185,8704,0.008376209999999999,0.008092,0.008704
ChaCha20-Poly1305,decrypt,1024,200,12543.42,11333.0,12929.620205049883,11018,192964,12463,0.01254342,0.011333,0.012463
ChaCha20-Poly1305,decrypt,4096,200,22166.435,21797.0,2060.9290035231234,21593,46667,22851,0.022166435,0.021797,0.022851
ChaCha20-Poly1305,encrypt,64,200,32279.28,6741.0,358863.67864545214,6482,5081967,7204,0.03227928,0.006741,0.007204
ChaCha20-Poly1305,encrypt,256,200,8481.98,7649.0,11145.87971145892,7482,165277,7907,0.00848198,0.007649,0.007907
ChaCha20-Poly1305,encrypt,1024,200,13575.6,10685.0,25780.79937652171,10481,315204,11518,0.0135756,0.010685,0.011518
ChaCha20-Poly1305,encrypt,4096,200,22067.565,20703.5,13084.543340826413,20426,196796,21556,0.022067564999999997,0.0207035,0.021556
