nist_level,algorithm_type,operation,count,mean_ns,median_ns,stdev_ns,min_ns,max_ns,p95_ns,mean_ms,median_ms,p95_ms
L1,KEM,decapsulate,600,42854706.416666664,55427898.0,31120642.71043757,65426,73829846,73161623,42.854706416666666,55.427898,73.161623
L1,KEM,encapsulate,600,14999495.378333334,260463.5,20995538.435018912,60185,46894550,44772771,14.999495378333334,0.2604635,44.772771
L1,KEM,keygen,600,118533845.01333334,22058098.5,198980136.14710808,80019,1524755930,516203507,118.53384501333333,22.0580985,516.203507
L1,SIG,keygen,600,70795254.045,17634789.5,87051710.13242888,247648,197675763,193377371,70.79525404500001,17.6347895,193.377371
L1,SIG,sign,600,487517268.95,854482.0,688839536.6417427,416389,1470576807,1461657394,487.51726895,0.854482,1461.657394
L1,SIG,verify,600,616945.68,246203.5,620916.915230629,108704,1647130,1494686,0.61694568,0.2462035,1.494686
L1,SUITE,full_handshake,1800,879650001.2916666,502605145.0,720830935.5869328,213388069,3413382410,2038820303,879.6500012916666,502.605145,2038.820303
L3,KEM,decapsulate,600,100229334.00166667,89376790.5,86589744.70143211,93444,213354274,211344773,100.22933400166667,89.3767905,211.344773
L3,KEM,encapsulate,600,45378857.656666666,639889.5,63699217.90016549,84982,140495743,135491240,45.37885765666667,0.6398895,135.49124
L3,KEM,keygen,600,394075489.25,67357379.0,678275331.9138409,105944,5149965256,1775898125,394.07548925,67.357379,1775.898125
L3,SIG,keygen,400,140649243.745,140527215.0,140407539.79415023,411666,287363861,281613690,140.649243745,140.527215,281.61369
L3,SIG,sign,400,1306346767.0275,1301532758.0,1311036907.0792592,609056,4807127170,2603761331,1306.3467670275,1301.532758,2603.761331
L3,SIG,verify,400,1292050.59,1353926.5,909416.4935681155,380612,2375854,2255038,1.29205059,1.3539265,2.255038
L3,SUITE,full_handshake,1200,2559706649.8908334,3177684326.0,1501806687.573276,574255501,8208797011,4792808453,2559.7066498908334,3177.684326,4792.808453
L5,KEM,decapsulate,600,200506255.49333334,208999085.0,160349857.1032502,131538,401151881,392517506,200.50625549333333,208.999085,392.517506
L5,KEM,encapsulate,600,83640345.22333333,1990714.5,116878921.16363117,116685,252927707,248960520,83.64034522333333,1.9907145,248.96052
L5,KEM,keygen,600,2986160010.28,123535240.5,5748191369.238766,134370,36617415655,16084120310,2986.1600102800003,123.5352405,16084.12031
L5,SIG,keygen,600,79227004.90833333,47292161.5,78624343.73933114,601278,187628034,186226070,79.22700490833333,47.2921615,186.22607
L5,SIG,sign,600,770477113.1066667,1483649.5,1088352854.9462743,919427,2325331662,2310199022,770.4771131066667,1.4836495,2310.199022
L5,SIG,verify,600,1308651.5366666666,610510.0,1292207.1899855002,192463,3513854,3168521,1.3086515366666667,0.61051,3.168521
L5,SUITE,full_handshake,1600,9528044627.69375,7613403004.5,7100577371.993492,2497538134,63136681036,24339003293,9528.044627693751,7613.4030045,24339.003293
