suite,suite_mean_ms,suite_median_ms,suite_p95_ms,iterations
cs-classicmceliece348864-aesgcm-falcon512,402.177616815,358.163973,937.56317,200
cs-classicmceliece348864-aesgcm-mldsa44,396.69963163,287.4956535,811.675974,200
cs-classicmceliece348864-aesgcm-sphincs128s,1839.13863715,1754.7211235,2257.278451,200
cs-classicmceliece348864-ascon128a-falcon512,419.55032567,358.038382,937.163855,200
cs-classicmceliece348864-ascon128a-mldsa44,373.71889789,288.7224425,723.299281,200
cs-classicmceliece348864-ascon128a-sphincs128s,1872.8949653250002,1820.932145,2399.111074,200
cs-classicmceliece348864-chacha20poly1305-falcon512,364.348993555,287.1560545,719.895968,200
cs-classicmceliece348864-chacha20poly1305-mldsa44,399.69038646499996,358.4284605,791.103164,200
cs-classicmceliece348864-chacha20poly1305-sphincs128s,1848.630557125,1789.6296075,2255.439975,200
cs-classicmceliece460896-aesgcm-mldsa65,1279.333112605,1091.0351175,2697.202355,200
cs-classicmceliece460896-aesgcm-sphincs192s,3839.3703001199997,3701.46744,5281.696233,200
cs-classicmceliece460896-ascon128a-mldsa65,1262.71828897,1095.854766,2793.414853,200
cs-classicmceliece460896-ascon128a-sphincs192s,3807.31045483,3697.98664,5040.648407,200
cs-classicmceliece460896-chacha20poly1305-mldsa65,1309.5772464949998,1099.986047,2957.288069,200
cs-classicmceliece460896-chacha20poly1305-sphincs192s,3859.9304963249997,3480.294118,5525.885629,200
cs-classicmceliece8192128-aesgcm-falcon1024,9283.754891605,7591.177713,26802.452937,200
cs-classicmceliece8192128-aesgcm-mldsa87,8897.821195864999,7645.646463,19903.803082,200
cs-classicmceliece8192128-aesgcm-sphincs256s,12377.19197181,9948.368069,29310.229351,200
cs-classicmceliece8192128-ascon128a-falcon1024,8446.910469455,5437.857491,21812.715277,200
cs-classicmceliece8192128-ascon128a-mldsa87,8461.18075022,5356.604431,22310.186975,200
cs-classicmceliece8192128-chacha20poly1305-falcon1024,9010.978098215,6436.4421075,22277.589139,200
cs-classicmceliece8192128-chacha20poly1305-mldsa87,8944.761968775,5428.8442975,27004.995402,200
cs-classicmceliece8192128-chacha20poly1305-sphincs256s,10801.757675605,9823.7776415,21233.542981,200
